email_number,label
1,Spam
2,Spam
3,Spam
4,Spam
5,Spam
6,Non-Spam
7,Spam
8,Spam
9,Spam
10,Spam
11,Spam
12,Non-Spam
13,Spam
14,Non-Spam
15,Spam
16,Non-Spam
17,Non-Spam
18,Non-Spam
19,Spam
20,Spam
21,Spam
22,Non-Spam
23,Non-Spam
24,Non-Spam
25,Spam
26,Non-Spam
27,Non-Spam
28,Spam
29,Non-Spam
30,Non-Spam
31,Non-Spam
32,Non-Spam
33,Non-Spam
34,Spam
35,Spam
36,Spam
37,Non-Spam
38,Spam
39,Spam
40,Non-Spam
41,Non-Spam
42,Non-Spam
43,Spam
44,Spam
45,Non-Spam
46,Non-Spam
47,Spam
48,Spam
49,Spam
50,Non-Spam
51,Spam
52,Spam
53,Spam
54,Spam
55,Non-Spam
56,Spam
57,Spam
58,Spam
59,Non-Spam
60,Non-Spam
61,Spam
62,Spam
63,Spam
64,Non-Spam
65,Spam
66,Spam
67,Non-Spam
68,Spam
69,Spam
70,Spam
